{'x': 0.055659420788288116, 'y': -0.09078041464090347, 'z': -1.2100000381469727}
{'x': -0.8126275539398193, 'y': -0.23602907359600067, 'z': -1.100000023841858}
{'x': -3.4620161056518555, 'y': -0.5719164609909058, 'z': -1.1100000143051147}
{'x': -5.9110307693481445, 'y': -0.9168819785118103, 'z': -1.100000023841858}
{'x': -9.0836181640625, 'y': -1.4887980222702026, 'z': -1.100000023841858}
{'x': -11.365653991699219, 'y': -1.988089919090271, 'z': -1.100000023841858}
{'x': -14.293339729309082, 'y': -2.7324883937835693, 'z': -1.100000023841858}
{'x': -19.169105529785156, 'y': -4.0941925048828125, 'z': -1.100000023841858}
{'x': -21.19510841369629, 'y': -3.776460886001587, 'z': -1.090000033378601}
{'x': -23.799968719482422, 'y': -1.7883718013763428, 'z': -1.100000023841858}
{'x': -25.703521728515625, 'y': -0.009078028611838818, 'z': -1.100000023841858}
{'x': -28.1747989654541, 'y': 2.2695069313049316, 'z': -1.100000023841858}
{'x': -29.978164672851562, 'y': 3.9035515785217285, 'z': -1.100000023841858}
{'x': -32.30472946166992, 'y': 6.000574588775635, 'z': -1.100000023841858}
{'x': -36.07843780517578, 'y': 9.477456092834473, 'z': -1.090000033378601}
{'x': -36.635032653808594, 'y': 10.893627166748047, 'z': -1.100000023841858}
{'x': -35.655426025390625, 'y': 12.700155258178711, 'z': -1.100000023841858}
{'x': -34.46431350708008, 'y': 14.007391929626465, 'z': -1.100000023841858}
{'x': -32.894718170166016, 'y': 15.695904731750488, 'z': -1.100000023841858}
{'x': -31.68134307861328, 'y': 16.903284072875977, 'z': -1.100000023841858}
{'x': -30.033824920654297, 'y': 18.45562744140625, 'z': -1.100000023841858}
{'x': -27.45122718811035, 'y': 20.552654266357422, 'z': -1.090000033378601}
{'x': -25.658994674682617, 'y': 20.47095489501953, 'z': -1.100000023841858}
{'x': -24.256376266479492, 'y': 19.091094970703125, 'z': -1.100000023841858}
{'x': -22.35282325744629, 'y': 16.7852783203125, 'z': -1.100000023841858}
{'x': -20.86115074157715, 'y': 14.996907234191895, 'z': -1.100000023841858}
{'x': -18.824016571044922, 'y': 12.573074340820312, 'z': -1.100000023841858}
{'x': -17.25442123413086, 'y': 10.721156120300293, 'z': -1.100000023841858}
{'x': -13.514107704162598, 'y': 6.227531909942627, 'z': -1.090000033378601}
{'x': -12.72374439239502, 'y': 4.257598400115967, 'z': -1.100000023841858}
{'x': -13.258074760437012, 'y': 1.534187912940979, 'z': -1.100000023841858}
{'x': -14.092966079711914, 'y': -0.5537601113319397, 'z': -1.100000023841858}
{'x': -15.117098808288574, 'y': -3.386106491088867, 'z': -1.100000023841858}
{'x': -15.818408012390137, 'y': -5.555756568908691, 'z': -1.100000023841858}
